分类,科目,2022A,2023A,2024A,单位,备注
利润表,营业收入,318.4,401.7,516.2,百万元,CAGR 27.3%
利润表,- 视觉检测设备,178.3,217.0,268.4,百万元,占比 56%→52%
利润表,- AI 算法平台及授权,82.8,116.5,160.0,百万元,占比 26%→31%
利润表,- 智能产线方案,41.4,48.2,64.5,百万元,占比 13%→12.5%
利润表,- 技术服务及其他,15.9,20.0,23.3,百万元,占比 5%→4.5%
利润表,营业成本,187.0,227.0,280.3,百万元,
利润表,毛利润,131.4,174.7,235.9,百万元,
利润表,毛利率,41.3%,43.5%,45.7%,,逐年提升·注意产品结构变化
利润表,销售费用,35.0,42.2,51.6,百万元,销售费用率 11.0%→10.0%
利润表,管理费用,28.7,34.1,41.3,百万元,含股份支付 2024 年约 480 万
利润表,研发费用,47.1,60.7,84.7,百万元,研发费用率 14.8%→16.4%
利润表,研发费用（费用化）,43.2,54.4,74.0,百万元,
利润表,研发费用（资本化）,3.9,6.3,10.7,百万元,资本化率 8.2%→12.6%·偏高
利润表,财务费用,4.8,3.2,2.6,百万元,负债结构优化
利润表,其他收益（政府补助）,4.96,4.12,6.80,百万元,2022 年占利润总额 23.4%
利润表,利润总额,21.2,39.5,67.0,百万元,含非经常性损益
利润表,归母净利润,21.2,36.4,58.1,百万元,
利润表,扣非归母净利润,16.8,32.2,51.6,百万元,扣非口径
利润表,归母净利率,6.7%,9.1%,11.3%,,
资产负债表,总资产,486.0,582.0,718.0,百万元,
资产负债表,货币资金,62.4,48.7,56.2,百万元,2023 年下降系设备投入
资产负债表,应收账款,62.4,79.3,113.2,百万元,增速 +42.8% 高于收入增速
资产负债表,应收账款周转天数,71,72,80,天,恶化·需核实信用政策
资产负债表,存货,38.2,44.6,58.7,百万元,
资产负债表,存货周转天数,75,72,76,天,波动·注意在产品占比
资产负债表,固定资产,82.6,104.3,128.5,百万元,含东莞厂房
资产负债表,无形资产（含研发资本化）,18.4,24.2,33.8,百万元,
资产负债表,商誉,0,0,0,百万元,
资产负债表,总负债,188.1,247.9,326.0,百万元,
资产负债表,短期借款,45.0,62.0,78.0,百万元,
资产负债表,应付账款,38.6,46.2,58.4,百万元,
资产负债表,合同负债,12.8,16.4,22.1,百万元,预收款
资产负债表,净资产,297.9,334.1,392.0,百万元,
资产负债表,资产负债率,38.7%,42.6%,45.4%,,逐年上升
现金流量表,经营活动现金流净额,-18.3,6.2,18.4,百万元,2022 年为负
现金流量表,投资活动现金流净额,-42.6,-58.4,-52.8,百万元,资本开支较重
现金流量表,筹资活动现金流净额,68.2,38.7,42.1,百万元,含 B+ 轮融资
效率指标,ROE,7.1%,10.9%,14.8%,,
效率指标,ROA,4.4%,6.3%,8.1%,,
效率指标,净利润/经营现金流,-1.16,5.87,3.16,倍,现金回收质量弱
客户集中度,前五大客户收入占比,48.3%,50.6%,52.1%,,逐年上升
客户集中度,第一大客户占比,14.7%,16.2%,18.4%,,接近 20% 红线
客户集中度,前五大供应商采购占比,34.2%,36.8%,38.5%,,
海外收入,海外收入占比,4.2%,5.8%,8.0%,,仍然偏低
员工结构,研发人员占比,38.5%,39.2%,40.4%,,科创属性支撑
员工结构,本科及以上占比,72%,74%,76%,,