门店编号,城市,商圈,开业日期,运营月数,成熟度,面积(㎡),牙椅,月均收入(万元),月门诊人次,毛利率,净利率,月租金(万元),月人力(万元),月耗材(万元),月获客(万元),客单价-正畸(元),客单价-种植(元),客单价-基础(元),全职医生,护士,投资(万元),累计营收(万元),回本状态,回本月数,坪效(万/㎡/年),椅效(万/椅/年),复购率,美团评分,核心业务
SH-001,上海,静安寺,2018-03,82,成熟店,850,14,125,680,58%,18%,12.0,37.0,22.0,5.0,28000,10500,850,6,14,450,8200,已回本,19,1.76,107,68%,4.9,正畸+种植
SH-002,上海,徐汇,2018-09,76,成熟店,800,12,118,620,57%,17%,11.0,34.0,20.0,4.5,26000,10000,800,5,12,420,7500,已回本,20,1.77,118,65%,4.8,正畸+儿牙
SH-003,上海,浦东陆家嘴,2019-03,70,成熟店,900,14,130,720,58%,18%,14.0,39.0,24.0,5.5,30000,11000,900,6,14,480,7200,已回本,18,1.73,111,70%,4.9,种植+正畸
SH-004,上海,长宁,2019-09,64,成熟店,750,12,108,580,56%,15%,10.0,32.0,19.0,4.0,25000,9500,750,5,12,400,5800,已回本,21,1.73,108,62%,4.7,综合
SH-005,上海,杨浦,2020-03,58,成熟店,800,12,112,600,57%,16%,10.5,33.0,20.0,4.5,27000,10000,800,5,12,420,5400,已回本,20,1.68,112,64%,4.8,种植
SH-006,上海,闵行,2020-09,52,成熟店,700,10,98,530,56%,14%,9.0,29.0,17.0,4.0,24000,9000,700,4,10,380,4200,已回本,22,1.68,118,60%,4.7,基础+正畸
SH-007,上海,虹口,2021-03,46,成熟店,800,12,105,560,57%,16%,10.5,31.0,18.5,4.2,26000,9800,780,5,12,420,3800,已回本,21,1.58,105,63%,4.8,正畸
SH-008,上海,普陀,2021-09,40,成长店,850,12,100,540,55%,13%,11.0,30.0,18.0,4.5,25000,9500,750,5,12,430,3200,接近回本,24,1.41,100,58%,4.7,种植+儿牙
SH-009,上海,宝山,2022-03,34,成长店,750,10,82,440,54%,9%,9.0,25.0,15.0,4.0,24000,9000,700,4,10,400,2200,接近回本,,1.31,98,55%,4.6,综合
SH-010,上海,松江,2022-09,28,成长店,800,12,78,420,53%,7%,10.0,24.0,15.0,4.2,23000,8800,680,4,12,420,1700,接近回本,,1.17,78,52%,4.5,正畸
SH-011,上海,嘉定,2023-06,19,新店,700,10,48,260,52%,-3%,8.5,16.0,10.5,4.5,22000,8500,650,3,10,380,700,爬坡期,,0.82,58,45%,4.4,基础+正畸
SH-012,上海,奉贤,2024-01,7,新店,800,12,28,150,50%,-12%,10.0,12.0,7.5,5.0,22000,8000,600,3,10,420,170,爬坡期,,0.42,28,38%,,综合
HZ-001,杭州,西湖区,2019-06,66,成熟店,800,12,110,600,57%,16%,10.0,32.0,19.0,4.2,26000,10000,800,5,12,420,5800,已回本,20,1.65,110,65%,4.8,种植+正畸
HZ-002,杭州,拱墅区,2020-01,59,成熟店,750,12,102,550,56%,15%,9.0,30.0,18.0,4.0,25000,9500,750,5,12,400,5000,已回本,20,1.63,102,63%,4.7,正畸
HZ-003,杭州,滨江区,2020-09,51,成熟店,700,10,92,500,55%,13%,8.0,27.0,16.0,3.8,24000,9000,700,4,10,380,3800,已回本,22,1.58,110,60%,4.7,儿牙+基础
HZ-004,杭州,余杭区,2021-06,42,成熟店,800,12,98,530,55%,12%,9.5,29.0,17.5,4.0,25000,9500,720,5,12,420,3200,已回本,23,1.47,98,58%,4.6,种植
HZ-005,杭州,萧山区,2022-03,34,成长店,750,10,80,430,54%,8%,8.5,24.0,14.5,3.8,23000,8800,680,4,10,400,2100,接近回本,,1.28,96,55%,4.5,综合
HZ-006,杭州,江干区,2022-09,28,成长店,700,10,74,400,53%,6%,7.5,22.0,13.5,3.5,22000,8500,650,3,10,380,1600,接近回本,,1.27,89,52%,4.5,正畸
HZ-007,杭州,下城区,2023-03,22,新店,800,12,52,280,52%,0%,9.0,16.0,10.5,4.2,22000,8500,650,3,12,420,900,爬坡期,,0.78,52,48%,4.4,种植+正畸
HZ-008,杭州,富阳区,2024-03,5,新店,700,10,22,120,50%,-15%,7.0,10.0,6.0,4.5,21000,8000,600,2,8,380,100,爬坡期,,0.38,26,40%,,基础
NJ-001,南京,鼓楼区,2020-06,54,成熟店,800,12,105,570,56%,15%,9.0,31.0,18.0,4.0,25000,9800,780,5,12,420,4600,已回本,21,1.58,105,62%,4.7,种植
NJ-002,南京,建邺区,2021-01,47,成熟店,750,10,92,500,55%,12%,8.0,27.0,16.0,3.8,24000,9200,720,4,10,400,3400,已回本,23,1.47,110,58%,4.6,正畸+儿牙
NJ-003,南京,秦淮区,2021-09,40,成长店,700,10,86,460,55%,10%,7.5,25.0,15.0,3.8,23000,9000,700,4,10,380,2700,接近回本,25,1.47,103,56%,4.6,综合
NJ-004,南京,栖霞区,2022-06,31,成长店,800,12,72,390,53%,5%,8.5,22.0,13.5,3.8,22000,8800,680,4,12,420,1700,接近回本,,1.08,72,50%,4.5,种植
NJ-005,南京,江宁区,2023-03,22,新店,700,10,44,240,51%,-5%,7.0,14.0,9.0,4.0,21000,8500,650,3,10,380,740,爬坡期,,0.75,53,45%,4.3,基础+正畸
NJ-006,南京,浦口区,2024-01,7,新店,750,10,24,130,49%,-14%,8.0,10.0,6.5,4.5,20000,8000,600,2,8,400,150,爬坡期,,0.38,29,38%,,综合
SZ-001,苏州,工业园区,2021-03,46,成熟店,800,12,98,530,56%,13%,9.0,29.0,17.0,3.8,24000,9200,720,5,12,420,3500,已回本,23,1.47,98,60%,4.7,种植+正畸
SZ-002,苏州,姑苏区,2022-01,37,成长店,700,10,76,410,54%,7%,7.5,23.0,14.0,3.5,23000,8800,680,4,10,380,2100,接近回本,,1.30,91,55%,4.5,正畸
SZ-003,苏州,吴中区,2022-09,28,成长店,750,10,70,380,53%,4%,8.0,21.0,13.0,3.5,22000,8500,650,3,10,400,1500,接近回本,,1.12,84,52%,4.4,综合
SZ-004,苏州,相城区,2023-06,19,新店,800,12,42,230,51%,-6%,8.5,14.0,9.0,4.0,21000,8200,620,3,12,420,620,爬坡期,,0.63,42,45%,4.3,儿牙+基础
SZ-005,苏州,昆山,2024-03,5,新店,700,10,20,110,48%,-18%,7.0,9.0,5.5,4.5,20000,8000,600,2,8,380,90,爬坡期,,0.34,24,38%,,基础
OT-001,无锡,梁溪区,2022-06,31,成长店,700,10,72,390,53%,5%,7.0,22.0,13.0,3.5,22000,8500,650,3,10,380,1700,接近回本,,1.23,86,52%,4.5,综合
OT-002,宁波,海曙区,2023-01,23,新店,750,10,50,270,52%,-2%,7.5,16.0,10.0,4.0,22000,8500,650,3,10,400,880,爬坡期,,0.80,60,48%,4.4,种植
OT-003,合肥,蜀山区,2023-09,15,新店,700,10,30,160,50%,-10%,6.5,11.0,6.5,4.0,21000,8000,600,2,8,380,340,爬坡期,,0.51,36,42%,4.3,基础+正畸
OT-004,温州,鹿城区,2024-03,5,新店,700,10,18,100,48%,-20%,6.5,8.0,4.5,4.5,20000,8000,600,2,8,380,80,爬坡期,,0.31,22,36%,,基础
